,id,minx,maxx,miny,maxy,mint,maxt,filepath,crs,res
0,0,471407.97,472431.9,3883365.2,3884389.0,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3883365.16_472431.91_3884389.10.tif,EPSG:32646,15.999032848232673
1,1,471919.94,472943.88,3883186.2,3884210.0,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3883186.17_472943.88_3884210.11.tif,EPSG:32646,15.999032848232673
2,2,472307.9,473331.84,3883186.2,3884210.0,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3883186.17_473331.85_3884210.11.tif,EPSG:32646,15.999032848232673
3,3,471407.97,472431.9,3882674.2,3883698.2,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3882674.20_472431.91_3883698.14.tif,EPSG:32646,15.999032848232673
4,4,471407.97,472431.9,3882162.2,3883186.2,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3882162.24_472431.91_3883186.17.tif,EPSG:32646,15.999032848232673
5,5,472307.9,473331.84,3882162.2,3883186.2,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3882162.24_473331.85_3883186.17.tif,EPSG:32646,15.999032848232673
6,6,471919.94,472943.88,3882162.2,3883186.2,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3882162.24_472943.88_3883186.17.tif,EPSG:32646,15.999032848232673
7,7,471407.97,472431.9,3883186.2,3884210.0,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3883186.17_472431.91_3884210.11.tif,EPSG:32646,15.999032848232673
8,8,472307.9,473331.84,3883365.2,3884389.0,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3883365.16_473331.85_3884389.10.tif,EPSG:32646,15.999032848232673
9,9,471919.94,472943.88,3883365.2,3884389.0,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3883365.16_472943.88_3884389.10.tif,EPSG:32646,15.999032848232673
10,10,471919.94,472943.88,3882674.2,3883698.2,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3882674.20_472943.88_3883698.14.tif,EPSG:32646,15.999032848232673
11,11,472307.9,473331.84,3882674.2,3883698.2,0.0,9.223372e+18,sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3882674.20_473331.85_3883698.14.tif,EPSG:32646,15.999032848232673
