,id,minx,maxx,miny,maxy,mint,maxt,filepath,crs,res
0,0,471407.97,472431.9,3882930.2,3883954.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3882930.19_472431.91_3883954.13.tif,EPSG:32646,15.999032848232673
1,1,471407.97,472431.9,3883365.2,3884389.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3883365.16_472431.91_3884389.10.tif,EPSG:32646,15.999032848232673
2,2,472307.9,473331.84,3882418.2,3883442.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3882418.22_473331.85_3883442.16.tif,EPSG:32646,15.999032848232673
3,3,471919.94,472943.88,3882418.2,3883442.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3882418.22_472943.88_3883442.16.tif,EPSG:32646,15.999032848232673
4,4,471919.94,472943.88,3883186.2,3884210.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471919.94_3883186.17_472943.88_3884210.11.tif,EPSG:32646,15.999032848232673
5,5,472307.9,473331.84,3883186.2,3884210.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472307.92_3883186.17_473331.85_3884210.11.tif,EPSG:32646,15.999032848232673
6,6,471407.97,472431.9,3882674.2,3883698.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3882674.20_472431.91_3883698.14.tif,EPSG:32646,15.999032848232673
7,7,472175.94,473199.88,3882418.2,3883442.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472175.92_3882418.22_473199.86_3883442.16.tif,EPSG:32646,15.999032848232673
8,8,472175.94,473199.88,3883186.2,3884210.0,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_472175.92_3883186.17_473199.86_3884210.11.tif,EPSG:32646,15.999032848232673
9,9,471407.97,472431.9,3882162.2,3883186.2,0.0,9.223372e+18,/Users/zhuoyi/Library/Application Support/QGIS/QGIS3/profiles/default/python/plugins/Geo-SAM/features/beiluhe_google_img_201211_utm_new_export_pyramid_clip/sam_features_vit_h_beiluhe_google_img_201211_utm_new_export_pyramid_clip_471407.97_3882162.24_472431.91_3883186.17.tif,EPSG:32646,15.999032848232673
